epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,8676.18,0.74589,0.51851,0.89782,0.96439,0.9689,0.98931,0.77543,0.7578,0.47684,0.86679,0.00118627,0.00118627,0.00118627
105,8757.83,0.76742,0.51873,0.8924,0.97836,0.96187,0.98216,0.78876,0.74605,0.48524,0.86691,0.00118565,0.00118565,0.00118565
106,8839.87,0.76573,0.544,0.89308,0.97574,0.96698,0.98588,0.78641,0.74243,0.46412,0.8636,0.00118503,0.00118503,0.00118503
107,8921.71,0.79257,0.53404,0.8942,0.9683,0.96317,0.98537,0.79137,0.73754,0.47354,0.85826,0.00118441,0.00118441,0.00118441
108,9003.97,0.71404,0.51147,0.88666,0.94757,0.96391,0.98457,0.80025,0.727,0.44967,0.85707,0.00118379,0.00118379,0.00118379
109,9085.99,0.73992,0.50217,0.88342,0.97414,0.93468,0.98112,0.79134,0.73557,0.44871,0.85777,0.00118317,0.00118317,0.00118317
110,9168.26,0.73902,0.51077,0.88976,0.96854,0.95003,0.98682,0.7848,0.74334,0.44656,0.85979,0.00118256,0.00118256,0.00118256
111,9250.18,0.73712,0.52788,0.89041,0.97804,0.95034,0.98775,0.7916,0.71396,0.44054,0.8501,0.00118194,0.00118194,0.00118194
112,9332.74,0.71901,0.50765,0.88525,0.94529,0.96221,0.98384,0.78534,0.7498,0.46068,0.86675,0.00118132,0.00118132,0.00118132
113,9414.8,0.75283,0.5107,0.8903,0.94094,0.9604,0.98367,0.76992,0.77687,0.4636,0.89385,0.0011807,0.0011807,0.0011807
114,9497.46,0.74061,0.50857,0.89489,0.94279,0.97583,0.98301,0.77077,0.78025,0.45625,0.88449,0.00118008,0.00118008,0.00118008
115,9580.01,0.73822,0.51346,0.89179,0.97376,0.93868,0.9684,0.78081,0.71446,0.45332,0.85231,0.00117946,0.00117946,0.00117946
116,9663.02,0.74521,0.50644,0.88603,0.97263,0.93948,0.98381,0.79494,0.74352,0.47778,0.85781,0.00117884,0.00117884,0.00117884
117,9746.13,0.74543,0.5173,0.88666,0.92067,0.96226,0.97242,0.77633,0.76183,0.4827,0.86682,0.00117822,0.00117822,0.00117822
118,9829.29,0.74188,0.50019,0.88768,0.94948,0.96307,0.98221,0.78597,0.75281,0.46183,0.86166,0.00117761,0.00117761,0.00117761
119,9912.76,0.76348,0.52669,0.88225,0.95046,0.96881,0.98653,0.80596,0.72406,0.44655,0.85433,0.00117699,0.00117699,0.00117699
120,9996,0.73634,0.49049,0.87818,0.96722,0.94983,0.98224,0.79083,0.74009,0.45215,0.85863,0.00117637,0.00117637,0.00117637
121,10077.7,0.7243,0.50135,0.88691,0.95839,0.95283,0.98574,0.8029,0.7301,0.43681,0.85592,0.00117575,0.00117575,0.00117575
122,10160.8,0.76409,0.50393,0.89162,0.94679,0.96992,0.98306,0.77891,0.76238,0.4482,0.86244,0.00117513,0.00117513,0.00117513
