epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,128.959,0.79377,0.5488,0.89307,0.96,0.97451,0.98901,0.78666,0.71846,0.46561,0.84671,0.00105695,0.00105695,0.00105695
80,130.53,0.77246,0.56284,0.88565,0.94925,0.96779,0.98398,0.78194,0.73355,0.4648,0.85251,0.00105448,0.00105448,0.00105448
81,132.209,0.76188,0.5399,0.88334,0.93911,0.97165,0.98698,0.79227,0.7316,0.46551,0.84656,0.001052,0.001052,0.001052
82,133.846,0.74956,0.54131,0.88298,0.95462,0.93122,0.97829,0.75931,0.75034,0.47587,0.84327,0.00104952,0.00104952,0.00104952
83,135.426,0.76465,0.53482,0.88731,0.94808,0.9453,0.97601,0.78562,0.73533,0.47881,0.84356,0.00104705,0.00104705,0.00104705
84,136.972,0.74455,0.54811,0.89496,0.96772,0.97423,0.98779,0.77336,0.77648,0.45755,0.86334,0.00104458,0.00104458,0.00104458
85,138.54,0.71689,0.52405,0.86298,0.9575,0.96226,0.98403,0.77706,0.77228,0.47895,0.85809,0.0010421,0.0010421,0.0010421
86,140.13,0.74092,0.52658,0.88161,0.97914,0.97422,0.98988,0.78951,0.7378,0.45128,0.85031,0.00103962,0.00103962,0.00103962
87,141.718,0.74565,0.53531,0.87497,0.98652,0.97745,0.98973,0.78597,0.73732,0.44699,0.85491,0.00103715,0.00103715,0.00103715
88,143.321,0.72209,0.53554,0.8805,0.94798,0.96541,0.98325,0.79816,0.74615,0.46107,0.86274,0.00103468,0.00103468,0.00103468
89,144.901,0.74738,0.53375,0.87997,0.94894,0.93796,0.97108,0.79495,0.73286,0.47062,0.85729,0.0010322,0.0010322,0.0010322
90,146.535,0.74583,0.54673,0.87254,0.95717,0.96785,0.98057,0.79238,0.73811,0.4518,0.85354,0.00102972,0.00102972,0.00102972
91,148.153,0.74213,0.52744,0.87534,0.9841,0.97524,0.99008,0.79998,0.73239,0.42198,0.84443,0.00102725,0.00102725,0.00102725
92,149.78,0.76448,0.51326,0.88429,0.94761,0.96975,0.98543,0.78308,0.74222,0.45933,0.84504,0.00102478,0.00102478,0.00102478
93,151.388,0.74898,0.54138,0.88013,0.93796,0.94824,0.96903,0.7677,0.74519,0.46807,0.84639,0.0010223,0.0010223,0.0010223
94,153.021,0.73329,0.52154,0.87818,0.97097,0.95293,0.98741,0.78262,0.73851,0.43947,0.84161,0.00101983,0.00101983,0.00101983
95,154.716,0.70186,0.5132,0.87805,0.9665,0.9799,0.98991,0.79064,0.74034,0.42496,0.84475,0.00101735,0.00101735,0.00101735
96,156.375,0.73449,0.51449,0.87217,0.97367,0.97073,0.98874,0.79327,0.72933,0.42544,0.84336,0.00101488,0.00101488,0.00101488
